fecha,ingrediente,precio_eur_kg
2023-01-01,Cacao,2.45
2023-02-01,Cacao,2.53
2023-03-01,Cacao,2.71
2023-04-01,Cacao,2.7
2023-05-01,Cacao,2.75
2023-06-01,Cacao,3.08
2023-07-01,Cacao,3.25
2023-08-01,Cacao,3.27
2023-09-01,Cacao,3.17
2023-10-01,Cacao,3.61
2023-11-01,Cacao,4.23
2023-12-01,Cacao,3.85
2024-01-01,Cacao,4.37
2024-02-01,Cacao,5.99
2024-03-01,Cacao,9.0
2024-04-01,Cacao,8.65
2024-05-01,Cacao,8.01
2024-06-01,Cacao,6.07
2024-07-01,Cacao,6.51
2024-08-01,Cacao,7.11
2024-09-01,Cacao,7.0
2024-10-01,Cacao,6.63
2024-11-01,Cacao,8.66
2024-12-01,Cacao,11.07
2025-01-01,Cacao,10.49
2025-02-01,Cacao,8.7
2025-03-01,Cacao,7.6
2025-04-01,Cacao,8.45
2025-05-01,Cacao,8.16
2025-06-01,Cacao,8.24
2025-07-01,Cacao,7.21
2025-08-01,Cacao,6.65
2025-09-01,Cacao,5.76
2025-10-01,Cacao,5.33
2025-11-01,Cacao,4.66
2025-12-01,Cacao,5.22
2026-01-01,Cacao,3.54
2026-02-01,Cacao,2.36
2026-03-01,Cacao,2.7
2023-01-01,Pistacho,12.5
2023-02-01,Pistacho,12.8
2023-03-01,Pistacho,13.5
2023-04-01,Pistacho,14.5
2023-05-01,Pistacho,14.5
2023-06-01,Pistacho,14.5
2023-07-01,Pistacho,14.5
2023-08-01,Pistacho,14.5
2023-09-01,Pistacho,15.0
2023-10-01,Pistacho,15.0
2023-11-01,Pistacho,15.25
2023-12-01,Pistacho,15.25
2024-01-01,Pistacho,15.25
2024-02-01,Pistacho,15.25
2024-03-01,Pistacho,15.25
2024-04-01,Pistacho,15.25
2024-05-01,Pistacho,15.25
2024-06-01,Pistacho,15.25
2024-07-01,Pistacho,15.25
2024-08-01,Pistacho,15.25
2024-09-01,Pistacho,16.0
2024-10-01,Pistacho,16.0
2024-11-01,Pistacho,16.0
2024-12-01,Pistacho,16.0
2025-01-01,Pistacho,16.0
2025-02-01,Pistacho,16.0
2025-03-01,Pistacho,16.0
2025-04-01,Pistacho,16.0
2025-05-01,Pistacho,16.0
2025-06-01,Pistacho,16.0
2025-07-01,Pistacho,16.0
2025-08-01,Pistacho,16.0
2025-09-01,Pistacho,16.0
2025-10-01,Pistacho,16.0
2025-11-01,Pistacho,17.0
2025-12-01,Pistacho,17.0
2026-01-01,Pistacho,17.0
2026-02-01,Pistacho,17.0
2026-03-01,Pistacho,17.0
2023-01-01,Kataifi,13.93
2023-02-01,Kataifi,13.78
2023-03-01,Kataifi,13.77
2023-04-01,Kataifi,13.75
2023-05-01,Kataifi,13.75
2023-06-01,Kataifi,13.62
2023-07-01,Kataifi,13.4
2023-08-01,Kataifi,13.37
2023-09-01,Kataifi,13.36
2023-10-01,Kataifi,13.36
2023-11-01,Kataifi,13.21
2023-12-01,Kataifi,13.18
2024-01-01,Kataifi,13.15
2024-02-01,Kataifi,13.14
2024-03-01,Kataifi,13.18
2024-04-01,Kataifi,13.13
2024-05-01,Kataifi,13.13
2024-06-01,Kataifi,13.13
2024-07-01,Kataifi,12.99
2024-08-01,Kataifi,12.99
2024-09-01,Kataifi,12.99
2024-10-01,Kataifi,12.79
2024-11-01,Kataifi,12.79
2024-12-01,Kataifi,12.71
2025-01-01,Kataifi,12.79
2025-02-01,Kataifi,12.79
2025-03-01,Kataifi,12.7
2025-04-01,Kataifi,12.68
2025-05-01,Kataifi,12.68
2025-06-01,Kataifi,12.67
2025-07-01,Kataifi,12.63
2025-08-01,Kataifi,12.63
2025-09-01,Kataifi,12.62
2025-10-01,Kataifi,12.64
2025-11-01,Kataifi,12.63
2025-12-01,Kataifi,12.62
2026-01-01,Kataifi,12.6
2026-02-01,Kataifi,12.6
2026-03-01,Kataifi,12.6
