date,trend_chocolate_dubai,trend_pistacho,trend_kataifi
2024-01-01,0.0,36.25,0.0
2024-02-01,0.0,45.25,3.75
2024-03-01,0.0,44.8,8.6
2024-04-01,0.0,47.5,8.0
2024-05-01,0.0,49.75,15.25
2024-06-01,0.0,46.0,13.6
2024-07-01,0.75,45.25,12.0
2024-08-01,1.25,49.75,14.75
2024-09-01,3.0,47.2,20.0
2024-10-01,4.5,48.75,17.75
2024-11-01,11.0,53.25,20.25
2024-12-01,13.2,76.2,27.4
2025-01-01,13.75,51.75,22.5
2025-02-01,20.5,62.5,38.5
2025-03-01,62.0,72.8,68.6
2025-04-01,43.75,75.5,49.5
2025-05-01,54.0,70.5,49.0
2025-06-01,27.2,68.4,34.0
2025-07-01,21.5,77.25,35.25
2025-08-01,20.8,64.6,36.2
2025-09-01,16.5,62.25,27.0
2025-10-01,17.0,75.75,29.0
2025-11-01,18.6,70.2,32.6
2025-12-01,20.75,90.5,41.75
2026-01-01,10.75,54.75,20.25
2026-02-01,14.75,72.25,24.5
2026-03-01,16.25,71.75,27.5
