date,trend_chocolate_dubai,trend_pistacho,trend_kataifi
2023-12-31,0,38,6
2024-01-07,0,36,0
2024-01-14,0,34,0
2024-01-21,0,35,0
2024-01-28,0,40,0
2024-02-04,0,38,7
2024-02-11,0,38,8
2024-02-18,0,43,0
2024-02-25,0,62,0
2024-03-03,0,46,6
2024-03-10,0,43,10
2024-03-17,0,43,9
2024-03-24,0,46,9
2024-03-31,0,46,9
2024-04-07,0,47,0
2024-04-14,0,42,6
2024-04-21,0,53,11
2024-04-28,0,48,15
2024-05-05,0,48,8
2024-05-12,0,51,23
2024-05-19,0,53,15
2024-05-26,0,47,15
2024-06-02,0,49,18
2024-06-09,0,54,11
2024-06-16,0,42,13
2024-06-23,0,44,15
2024-06-30,0,41,11
2024-07-07,1,45,12
2024-07-14,1,46,13
2024-07-21,0,45,12
2024-07-28,1,45,11
2024-08-04,2,48,17
2024-08-11,1,48,9
2024-08-18,1,50,17
2024-08-25,1,53,16
2024-09-01,2,45,17
2024-09-08,3,49,16
2024-09-15,2,44,15
2024-09-22,3,53,17
2024-09-29,5,45,35
2024-10-06,5,52,22
2024-10-13,4,49,17
2024-10-20,4,50,15
2024-10-27,5,44,17
2024-11-03,5,44,14
2024-11-10,13,56,24
2024-11-17,14,55,24
2024-11-24,12,58,19
2024-12-01,9,58,25
2024-12-08,10,71,29
2024-12-15,13,77,25
2024-12-22,19,95,28
2024-12-29,15,80,30
2025-01-05,12,50,22
2025-01-12,16,48,19
2025-01-19,14,53,19
2025-01-26,13,56,30
2025-02-02,18,59,31
2025-02-09,22,59,35
2025-02-16,20,60,44
2025-02-23,22,72,44
2025-03-02,23,67,44
2025-03-09,31,67,41
2025-03-16,88,78,81
2025-03-23,100,84,100
2025-03-30,68,68,77
2025-04-06,53,76,60
2025-04-13,48,88,58
2025-04-20,38,73,45
2025-04-27,36,65,35
2025-05-04,34,59,39
2025-05-11,30,73,48
2025-05-18,89,73,50
2025-05-25,63,77,59
2025-06-01,41,79,40
2025-06-08,29,73,36
2025-06-15,26,67,37
2025-06-22,20,63,35
2025-06-29,20,60,22
2025-07-06,22,76,28
2025-07-13,21,80,33
2025-07-20,21,77,40
2025-07-27,22,76,40
2025-08-03,27,66,40
2025-08-10,22,64,35
2025-08-17,19,67,35
2025-08-24,18,67,39
2025-08-31,18,59,32
2025-09-07,14,57,31
2025-09-14,13,57,26
2025-09-21,21,67,22
2025-09-28,18,68,29
2025-10-05,14,82,25
2025-10-12,14,74,25
2025-10-19,21,75,29
2025-10-26,19,72,37
2025-11-02,21,71,32
2025-11-09,19,74,27
2025-11-16,18,66,30
2025-11-23,16,67,33
2025-11-30,19,73,41
2025-12-07,18,80,34
2025-12-14,20,82,39
2025-12-21,25,100,51
2025-12-28,20,100,43
2026-01-04,12,63,20
2026-01-11,12,51,21
2026-01-18,9,52,18
2026-01-25,10,53,22
2026-02-01,14,53,21
2026-02-08,13,66,27
2026-02-15,15,95,23
2026-02-22,17,75,27
2026-03-01,19,71,35
2026-03-08,18,70,27
2026-03-15,15,67,25
2026-03-22,13,79,23
